age_calBP,years_AD,d13C,d18O
2134.728985,-185,-3.762621222,-13.18262438
2132.292138,-182,-3.59102386,-12.95145616
2131.072647,-181,-3.851,-12.6
2129.852442,-180,-4.222867111,-13.19548054
2127.409882,-177,-4.137172774,-13.18965019
2120.06488,-170,-3.643423576,-12.99894924
2118.838169,-169,-3.658,-12.808
2117.610726,-168,-3.673442121,-13.13750208
2115.153638,-165,-3.679872574,-13.05652482
2110.230604,-160,-3.577884249,-13.21277518
2107.764631,-158,-3.606092295,-13.08337393
2106.530524,-157,-3.696,-12.805
2105.295668,-155,-3.531543076,-13.12392388
2102.823701,-153,-3.704690677,-13.04131929
2097.870697,-148,-3.943549497,-12.89955188
2095.389633,-145,-3.955403749,-12.77345139
2094.147955,-144,-3.915,-12.471
2092.905509,-143,-3.927517942,-12.93411134
2090.418309,-140,-3.906136019,-12.90002706
2085.43463,-135,-4.048843548,-13.00197777
2082.938121,-133,-3.906367648,-13.28817223
2081.688694,-132,-3.537,-13.739
2080.438481,-130,-3.517463361,-13.94364627
2077.935695,-128,-3.820994669,-13.3959461
2072.92063,-123,-4.016971286,-13.10992985
2070.408321,-120,-3.618516669,-12.98471228
2069.150967,-119,-2.56,-13.491
2067.89281,-118,-3.894552036,-13.19509786
2065.374082,-115,-2.969624194,-13.36990834
2060.326917,-110,-2.786313015,-13.17247703
2057.798452,-108,-1.911185124,-13.15676992
2056.532992,-107,-3.456,-12.473
2055.266712,-105,-2.257370934,-13.90377292
2052.731684,-103,-2.196737018,-13.44398944
2047.651704,-98,-2.396477811,-13.55943452
2045.106724,-95,-2.651522452,-13.37133805
2043.83298,-94,-4.357,-13.475
2042.558397,-93,-3.517766872,-13.13263841
2040.00671,-90,-3.284463322,-13.57132597
2034.893196,-85,-3.629270685,-13.95819585
2032.33134,-82,-4.05962289,-13.58579089
2031.049132,-81,-3.635,-12.834
2029.766067,-80,-4.363651488,-13.80540576
2027.19736,-77,-3.891343851,-13.48511953
2024.625206,-75,-3.852,-13.25309571
2022.04959,-72,-3.913301217,-13.10887981
2019.470497,-69,-4.05218116,-12.79183494
2018.179643,-68,-4.04,-12.618
2016.887914,-67,-3.880848109,-13.22229695
2011.712217,-62,-4.443,-14.3176629
2009.119074,-59,-3.757515017,-13.18530748
2006.522382,-57,-3.616878669,-13.17348626
2005.2227,-55,-3.663,-12.902
2003.922126,-54,-3.760773077,-13.12550872
2001.318292,-51,-3.685306541,-13.02134071
1998.710865,-49,-3.689,-12.49784343
1996.099831,-46,-3.997051447,-12.99839953
1993.485174,-43,-4.14808331,-13.02300962
1992.176483,-42,-4.107,-12.575
1990.866881,-41,-4.227084834,-13.02820582
1988.244936,-38,-4.150558863,-12.81160035
1985.619325,-36,-4,-12.40194888
1984.30514,-34,-2.304207003,-14.09811819
1982.990033,-33,-2.098637804,-14.47449188
1981.674002,-32,-1.7746675,-14.07037149
1980.357046,-30,-1.967510449,-13.96506192
1979.039162,-29,-1.227610067,-13.49915465
1977.720348,-28,-1.213120281,-13.27311671
1976.400603,-26,-1.391329237,-13.25645591
1975.079926,-25,-1.194025268,-13.2263824
1973.758313,-24,-0.06096876,-12.7179779
1972.435763,-22,-0.269998251,-12.49707127
1971.112275,-21,-0.756414491,-12.40891919
1969.787847,-20,-0.956338709,-12.01664137
1968.462476,-18,-1.474741636,-12.07610174
1967.136161,-17,-1.04239503,-12.53631781
1965.8089,-16,-0.803579333,-12.24481755
1964.480691,-14,-0.182479351,-12.58129531
1963.151533,-13,-0.206204999,-12.84963027
1961.821423,-12,-1.589797014,-13.76925668
1960.49036,-10,-2.297941547,-13.73116343
1959.158341,-9,-1.920449419,-14.27583889
1957.825365,-8,-0.879216373,-12.92029434
1956.491431,-6,-1.442631575,-12.83350939
1955.156535,-5,-1.778561432,-13.16085641
1953.820677,-4,-1.635357344,-13.01186397
