"","age_calBP","method","Temp"
"558",536,"SA_temp",-0.77
"559",535,"SA_temp",-0.64
"560",534,"SA_temp",-0.65
"561",533,"SA_temp",-0.6
"562",532,"SA_temp",-0.58
"563",531,"SA_temp",-0.76
"564",530,"SA_temp",-0.54
"565",529,"SA_temp",-0.54
"566",528,"SA_temp",-0.56
"567",527,"SA_temp",-0.52
"568",526,"SA_temp",-0.62
"569",525,"SA_temp",-0.77
"570",524,"SA_temp",-0.46
"571",523,"SA_temp",-0.55
"572",522,"SA_temp",-0.47
"573",521,"SA_temp",-0.34
"574",520,"SA_temp",-0.58
"575",519,"SA_temp",-0.72
"576",518,"SA_temp",-0.53
"577",517,"SA_temp",-0.44
"578",516,"SA_temp",-0.49
"579",515,"SA_temp",-0.46
"580",514,"SA_temp",-0.65
"581",513,"SA_temp",-0.42
"582",512,"SA_temp",-0.45
"583",511,"SA_temp",-0.45
"584",510,"SA_temp",-0.75
"585",509,"SA_temp",-0.66
"586",508,"SA_temp",-0.8
"587",507,"SA_temp",-0.49
"588",506,"SA_temp",-0.53
"589",505,"SA_temp",-0.75
"590",504,"SA_temp",-0.84
"591",503,"SA_temp",-0.82
"592",502,"SA_temp",-0.76
"593",501,"SA_temp",-0.64
"594",500,"SA_temp",-0.6
"595",499,"SA_temp",-0.69
"596",498,"SA_temp",-0.33
"597",497,"SA_temp",-0.24
"598",496,"SA_temp",-0.5
"599",495,"SA_temp",-0.5
"600",494,"SA_temp",-0.84
"601",493,"SA_temp",-0.57
"602",492,"SA_temp",-0.67
"603",491,"SA_temp",-0.7
"604",490,"SA_temp",-0.66
"605",489,"SA_temp",-0.25
"606",488,"SA_temp",-0.3
"607",487,"SA_temp",-0.34
"608",486,"SA_temp",-0.36
"609",485,"SA_temp",-0.4
"610",484,"SA_temp",-0.41
"611",483,"SA_temp",-0.37
"612",482,"SA_temp",-0.29
"613",481,"SA_temp",-0.05
"614",480,"SA_temp",0.02
"615",479,"SA_temp",0.1
"616",478,"SA_temp",0.09
"617",477,"SA_temp",-0.1
"618",476,"SA_temp",0.01
"619",475,"SA_temp",-0.05
"620",474,"SA_temp",-0.13
"621",473,"SA_temp",-0.28
"622",472,"SA_temp",-0.44
"623",471,"SA_temp",-0.61
"624",470,"SA_temp",-0.32
"625",469,"SA_temp",-0.27
"626",468,"SA_temp",-0.36
"627",467,"SA_temp",-0.32
"628",466,"SA_temp",-0.15
"629",465,"SA_temp",-0.57
"630",464,"SA_temp",-0.47
"631",463,"SA_temp",-0.46
"632",462,"SA_temp",-0.35
"633",461,"SA_temp",-0.28
"634",460,"SA_temp",-0.63
"635",459,"SA_temp",-0.31
"636",458,"SA_temp",-0.62
"637",457,"SA_temp",-0.64
"638",456,"SA_temp",-0.45
"639",455,"SA_temp",-0.35
"640",454,"SA_temp",-0.27
"641",453,"SA_temp",-0.37
"642",452,"SA_temp",-0.4
"643",451,"SA_temp",-0.48
"644",450,"SA_temp",-0.24
"645",449,"SA_temp",-0.3
"646",448,"SA_temp",-0.19
"647",447,"SA_temp",-0.12
"648",446,"SA_temp",-0.1
"649",445,"SA_temp",-0.36
"650",444,"SA_temp",-0.14
"651",443,"SA_temp",-0.5
"652",442,"SA_temp",-0.37
"653",441,"SA_temp",-0.29
"654",440,"SA_temp",-0.49
"655",439,"SA_temp",-0.56
"656",438,"SA_temp",-0.38
"657",437,"SA_temp",-0.35
"658",436,"SA_temp",-0.28
"659",435,"SA_temp",-0.51
"660",434,"SA_temp",-0.15
"661",433,"SA_temp",-0.44
"662",432,"SA_temp",-0.43
"663",431,"SA_temp",-0.65
"664",430,"SA_temp",-0.43
"665",429,"SA_temp",-0.42
"666",428,"SA_temp",-0.54
"667",427,"SA_temp",-0.62
"668",426,"SA_temp",-0.43
"669",425,"SA_temp",-0.36
"670",424,"SA_temp",-0.49
"671",423,"SA_temp",-0.38
"672",422,"SA_temp",-0.09
"673",421,"SA_temp",-0.62
"674",420,"SA_temp",-0.9
"675",419,"SA_temp",-0.31
"676",418,"SA_temp",-0.25
"677",417,"SA_temp",-0.39
"678",416,"SA_temp",-0.4
"679",415,"SA_temp",-0.39
"680",414,"SA_temp",-0.34
"681",413,"SA_temp",-0.19
"682",412,"SA_temp",-0.25
"683",411,"SA_temp",-0.31
"684",410,"SA_temp",-0.25
"685",409,"SA_temp",-0.41
"686",408,"SA_temp",-0.25
"687",407,"SA_temp",-0.29
"688",406,"SA_temp",-0.1
"689",405,"SA_temp",-0.7
"690",404,"SA_temp",-0.42
"691",403,"SA_temp",-0.43
"692",402,"SA_temp",-0.25
"693",401,"SA_temp",-0.17
"694",400,"SA_temp",-0.23
"695",399,"SA_temp",-0.3
"696",398,"SA_temp",-0.23
"697",397,"SA_temp",-0.48
"698",396,"SA_temp",-0.63
"699",395,"SA_temp",-0.49
"700",394,"SA_temp",-0.41
"701",393,"SA_temp",-0.2
"702",392,"SA_temp",-0.24
"703",391,"SA_temp",-0.19
"704",390,"SA_temp",-0.21
"705",389,"SA_temp",-0.05
"706",388,"SA_temp",-0.46
"707",387,"SA_temp",-0.7
"708",386,"SA_temp",-0.76
"709",385,"SA_temp",-0.82
"710",384,"SA_temp",-0.56
"711",383,"SA_temp",-0.37
"712",382,"SA_temp",0.04
"713",381,"SA_temp",-0.34
"714",380,"SA_temp",-0.64
"715",379,"SA_temp",-0.33
"716",378,"SA_temp",-0.15
"717",377,"SA_temp",-0.45
"718",376,"SA_temp",-0.32
"719",375,"SA_temp",-0.43
"720",374,"SA_temp",-0.41
