depth,bchron_age_model,%_tom,%_tc,dry_bd,%_lithics,%_clay,%_silt,%_sand,C_N,d13C,d15N,charcoal
191,1807.5,33.9,3.9,0.3,47.9,56.4,40.7,1.1,14.3,-26.94,1.26,7.03
192,1813.5,34,4.1,0.3,60.2,57.6,41.2,0,14.4,-26.92,1.21,7.01
193,1821,32.4,4.8,0.3,31.2,54.9,36.1,7.7,14.2,-26.78,1.23,6.63
194,1829,31.4,4.9,0.3,29.9,57.4,33.2,8.2,14.1,-26.65,1.26,6.26
195,1837,30.7,4.6,0.3,48.3,56.3,33,9.3,13.9,-26.52,1.28,5.88
196,1846,30.9,4.4,0.3,52.8,59.4,32.1,7.3,13.8,-26.49,1.29,5.5
197,1856,32.5,4.3,0.3,39.9,57.5,28.6,12.7,13.8,-26.77,1.24,5.57
198,1865,32.3,4.3,0.3,57.2,56,35.3,7,13.7,-27.06,1.19,5.78
199,1874,29.5,4.5,0.4,60.9,68.1,25.8,4.7,13.7,-27.35,1.14,5.99
200,1884.5,29.2,4.8,0.4,47.4,53.2,35.6,9.9,13.7,-27.51,1.16,6.2
201,1897,30.7,5.1,0.3,52.7,57.3,35.9,5.8,13.6,-27.32,1.38,6.41
202,1910.5,30.1,4.8,0.3,45.5,59.1,24.4,14.8,13.6,-27.12,1.6,6.35
203,1924.5,26,3.4,0.4,54,70,25,3.5,13.5,-26.93,1.82,6.19
204,1939,25.6,3.1,0.4,46.4,55.1,39.1,5.2,13.5,-26.73,2.04,6.04
205,1952,28.2,3.1,0.3,61.3,66,31.2,0.8,13.4,-26.68,2.18,5.88
206,1963,30.7,3.2,0.3,56.7,62.2,29.4,7.2,13.4,-27.07,2.12,5.72
207,1973,33.1,3.2,0.3,54.2,56.8,32.2,9.5,13.4,-27.46,2.05,5.57
208,1981,32.7,3.2,0.3,51.4,57,33.3,8.6,13.3,-27.64,2.03,5.41
209,1989.5,27.7,2.9,0.3,53.1,51.9,38.4,8.6,13,-27.17,2.16,5.25
210,1997.5,21.3,2.6,0.4,50.1,52.9,40.3,5.8,12.7,-26.7,2.28,5.1
211,2006.5,13.1,2.1,0.7,81.4,50.1,47.7,0.8,12.4,-26.23,2.41,4.94
212,2012.5,14.8,2.1,0.7,74.2,47.4,50.1,1.3,12.2,-25.92,2.47,4.79
213,2019,29.6,2.3,0.4,47.3,52.6,32,14,12.2,-26.05,2.33,4.63
214,2027.5,32.8,2.7,0.4,48.4,54.6,33.9,10.5,12.3,-26.18,2.2,4.47
215,2033,32.3,3.2,0.3,51.6,58.4,33.3,6.9,12.3,-26.32,2.07,4.32
216,2039,32.3,3.3,0.3,56.6,31.7,62.9,4.6,12.3,-26.45,1.93,4.16
217,2046.5,32.9,3.1,0.3,44.2,45.7,46.4,7.5,12.4,-26.59,1.8,3.82
218,2054,32.5,2.9,0.3,52.5,53.7,40.2,5.2,12.5,-26.67,1.67,3.41
219,2059,29.3,2.8,0.3,68.3,57.5,40.4,0.4,12.7,-26.62,1.54,3.01
220,2066.5,23.5,2.6,0.5,79.2,46.3,52.4,0.3,13,-26.57,1.42,2.6
221,2071.5,13.6,2.3,0.8,85.1,49.1,49.4,0,13.2,-26.51,1.29,2.2
222,2076.5,13.7,2.3,0.8,66.6,51,42.6,4.3,13.4,-26.51,1.23,2.94
223,2081,22.8,3.1,0.5,48,57.3,32,9.4,13.1,-26.67,1.33,4.06
224,2086.5,23.7,3.6,0.5,55.5,53.7,40.5,4.5,12.8,-26.82,1.43,5.17
225,2093.5,18.6,3.9,0.5,79,52.5,45.1,1.3,12.6,-26.98,1.53,6.29
226,2100,18.1,4.2,0.5,75.7,62.3,36.4,0.1,12.3,-27.03,1.68,7.41
227,2107,20.6,4.3,0.5,64.1,65.9,32.1,0.9,12,-26.74,2.01,6.68
228,2113,19.7,4,0.5,74.2,38.9,58.9,0.7,11.7,-26.45,2.33,5.33
229,2120,13.4,2.7,0.7,87.5,38.1,59.8,0.8,11.4,-26.16,2.66,3.97
230,2124.5,12.2,2.5,0.7,69.6,41.5,54.5,2.6,11,-25.9,2.79,2.62
231,2132,13.6,3.1,0.5,75.5,45.2,53.5,0.5,10.2,-25.7,2.37,1.27
232,2139,13.3,3.1,0.5,81.1,51.8,46.9,0,9.5,-25.49,1.94,0.87
233,2145,10.6,2.3,0.9,79.9,47.9,51,0,8.7,-25.29,1.52,0.78
234,2150,10.2,2,1,82.3,57.9,40.4,0.2,8.3,-24.81,1.38,0.7
235,2155,11,2,0.9,80.8,43.9,53.6,1.7,9,-23.48,2.08,0.61
236,2162,11.2,1.9,0.9,84.7,28.6,67.8,3.1,9.7,-22.15,2.78,0.53
237,2167.5,10.9,1.7,1.2,73.6,33.4,64.9,1,10.5,-20.82,3.48,0.44
238,2174,10.2,1.6,1.2,78.4,33.5,64.1,1.4,11,-20.05,3.96,0.35
239,2181,8.7,1.7,1.2,80,42.8,54.2,2.1,10.8,-20.95,3.78,0.26
240,2187,8.7,1.6,1.2,87.4,45.5,53.3,0.2,10.7,-21.85,3.61,0.17
241,2192,10.4,1.5,1,83.4,53,45.2,0.2,10.5,-22.75,3.43,0.08
242,2200,10.6,1.6,1,86.9,35.7,62.8,0.7,10.2,-23.53,3.29,0.18
243,2206.5,9.9,2.3,1,75.7,45.2,50.8,1.6,9.5,-23.97,3.27,0.33
244,2211,9.2,2.3,0.9,61.6,60.9,34.7,3.1,8.8,-24.4,3.24,0.48
245,2218.5,8.3,1.8,0.7,71,51.6,45.9,1.3,8.1,-24.83,3.22,0.63
246,2227,8.3,1.8,0.7,66,52.1,46.2,0.4,7.5,-25.25,3.21,0.78
247,2234,8.9,2,0.9,73,38.4,59,1.8,7.5,-25.63,3.23,0.88
248,2240,9.5,2.1,1,80.2,37.1,62.1,0.3,7.5,-26,3.25,0.97
249,2248,9.8,2.1,1,94.8,41.4,57.3,0.3,7.6,-26.38,3.27,1.05
250,2256.5,10.3,2.1,1,88,40.2,57.9,1,7.6,-26.75,3.29,1.13
251,2264,10.8,2.1,0.8,81.7,53,45.8,0.1,8.2,-26.82,3.38,1.21
252,2270,11.7,2.1,0.8,64.5,50.8,48.1,0,9.1,-26.78,3.48,1.53
253,2274.5,13.3,2.2,0.9,90.5,38.5,60,0.6,10,-26.75,3.58,1.92
254,2282,14.7,2.2,1.1,86.7,38.1,58.2,3,10.9,-26.71,3.68,2.32
255,2289,15.8,2.1,1.2,90.2,37.3,61.7,0.1,10.8,-26.82,3.7,2.71
256,2297,15.3,2.1,1.2,89.6,27.2,71.6,0.4,10.3,-26.97,3.7,3.1
257,2303.5,11.6,2.1,0.9,74.5,44.2,54.8,0.3,9.7,-27.12,3.7,2.72
258,2310.5,10.2,2.1,0.9,80.3,45.1,53.7,0.1,9.2,-27.27,3.7,2.09
259,2317,9.7,2.1,1.1,74.6,45.5,53.3,0,9.2,-26.97,3.68,1.45
260,2324,9.7,2.1,1.2,88.2,48,50.9,0,9.3,-26.51,3.66,0.81
261,2330,10.2,2.1,1.2,86.4,43,55.4,0.4,9.3,-26.06,3.63,0.17
262,2336,10.6,2.1,1.2,86.7,42.1,57.3,0.1,9.4,-25.61,3.61,0.02
263,2342,10.8,1.8,1.2,87.1,32.7,65.3,1.1,8.9,-25.71,3.62,0.03
264,2345.5,12,1.7,1.3,74.8,25.5,73.3,0.2,8.1,-25.99,3.65,0.03
265,2353,16.1,1.7,1.3,89.2,35.6,63.3,0.3,7.3,-26.26,3.68,0.04
266,2359,15.9,1.7,1.3,89.9,38.8,60.1,0.1,6.7,-26.5,3.71,0.04
267,2363.5,11.2,1.8,1.4,87.9,36.4,62.9,0.6,6.9,-26.63,3.76,0.04
268,2370,10.2,1.9,1.4,87.7,35.7,62.8,0.7,7,-26.75,3.8,0.03
269,2376.5,10.7,2,1.3,72.5,46.5,52.2,0.3,7.1,-26.87,3.84,0.03
270,2382,10.6,1.9,1.2,85.5,41.3,57.6,0.2,7.3,-27,3.89,0.02
271,2387.5,9.7,1.7,1.1,83,43,55.9,0,7.4,-26.8,3.9,0.01
272,2394,9.8,1.7,1.1,91.1,39.5,59.5,0.1,7.5,-26.49,3.9,0.24
273,2401,11.3,1.7,1.3,91.5,40.8,57.8,0.3,7.6,-26.19,3.9,0.54
274,2406,11.4,1.6,1.3,89.3,41,58.1,0.1,7.6,-25.88,3.9,0.84
275,2412.5,10.2,1.6,1.2,87.8,38.8,59.8,0.4,7.9,-25.95,3.79,1.14
276,2418,10.2,1.6,1.2,84.8,42.5,55.7,1.2,8.3,-26.15,3.64,1.45
277,2423.5,11,1.9,1.3,85.3,44.4,54.7,0,8.7,-26.35,3.49,1.31
278,2428.5,11.2,1.9,1.3,81.1,43.5,55.5,0,9.1,-26.54,3.34,1.02
279,2435,11,1.6,1.2,94.3,46.7,52.5,0,8.8,-25.86,3.39,0.73
280,2440,11.1,1.6,1.2,93.2,40.9,57.3,0.8,8.2,-24.88,3.52,0.44
